	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.77882649312417	7.43979030252824	6.95269985959342	-0.487090442934822	11.8802668080964	12.3300913404749	0	8.78370816825032e-07	6.43397241363089e-07	0.811876309931544	1	1	0	497097	Xkr4	chr1
20671	-1.41863984193466	2.92371739407488	2.27921799038867	-0.644499403686209	2.10356269757665	1.4717514514013	0	0.0347099732111441	0.0913352571926435	0.701184648550323	0	0	0	20671	Sox17	chr1
27395	4.20689271826405	0.46976574704399	0.0110600990608338	-0.458705647983156	0	0	0	0.984420767609355	0.999938989577047	0.988008840419305	0	0	0	27395	Mrpl15	chr1
18777	5.28049221636236	0.279632403211509	-0.392825609312788	-0.672458012524297	0	0	0	0.999244412646905	0.998149326229771	0.972328523529121	0	0	0	18777	Lypla1	chr1
21399	4.99943989278063	0.357770046577948	0.382368008850458	0.0245979622725097	0	0	0	0.999392678362093	0.999269595538253	0.999992231834449	0	0	0	21399	Tcea1	chr1
58175	1.60897335448273	-5.50107901459651	-5.05046681962369	0.450612194972821	-17.6920289452959	-15.8985323563318	0	3.31950357023746e-08	7.84809013066132e-08	0.996953957689034	-1	-1	0	58175	Rgs20	chr1
108664	5.76090213620451	-0.827882842519953	-1.05830796978914	-0.230425127269184	0	-0.462172561713284	0	0.895159330486737	0.327866828021788	0.999926777646039	0	0	0	108664	Atp6v1h	chr1
12421	6.29252775566967	-0.944967140902768	-0.342055274648112	0.602911866254655	0	0	0	0.643609548537115	0.999175711030866	0.991169789904646	0	0	0	12421	Rb1cc1	chr1
319263	5.95214881940666	-0.0871142269721901	0.143383762072791	0.230497989044981	0	0	0	0.999922075025902	0.999852598435111	0.999782165237285	0	0	0	319263	Pcmtd1	chr1
59014	5.6055180962507	1.00407896776236	1.29176589657374	0.287686928811379	0.020242606900478	1.44817727287825	0	0.492165232622138	0.0919836024519269	0.997228489524636	0	0	0	59014	Rrs1	chr1
76187	0.506484750949736	-1.3252345012344	-1.37626062841409	-0.0510261271796908	-1.04476879777886	-1.23485099999705	0	0.162708128697194	0.125231937225545	0.998130130148471	0	0	0	76187	Adhfe1	chr1
72481	-1.10338237392226	-1.10575237557938	-1.81211058239279	-0.706358206813408	-0.296146482849845	-2.37758092815656	0	0.387318937903113	0.021705340395356	0.811721701583307	0	0	0	72481	2610203C22Rik	chr1
